file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatPopupMenuBorder.java,com.formdev.flatlaf.ui.FlatPopupMenuBorder,class,7,8,1,7,14,6,0,11,9,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,3,43,9,0,1,0,3,8,3,7,0,3,1,0,0,0,32,1,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-theme-editor\src\main\java\com\formdev\flatlaf\themeeditor\FlatThemePreview.java,com.formdev.flatlaf.themeeditor.FlatThemePreview,class,11,17,6,11,38,11,0,57,64,0.876923,0.0,0.0,13,0,3,6,0,4,7,0,0,0,15,1,0,14,0,1,9,0,6,258,11,0,4,4,6,11,10,24,0,24,3,0,2,4,115,0,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-jide-oss\src\main\java\com\formdev\flatlaf\jideoss\FlatJideOssDefaultsAddon.java,com.formdev.flatlaf.jideoss.FlatJideOssDefaultsAddon$FlatJideUIDefaultsCustomizer,innerclass,4,4,0,4,11,1,0,12,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,4,32,2,1,1,0,5,15,1,4,0,3,2,0,0,0,53,9,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-testing\src\main\java\com\formdev\flatlaf\testing\FlatTestFrame.java,com.formdev.flatlaf.testing.FlatTestFrame$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-testing\src\main\java\com\formdev\flatlaf\testing\FlatTestFrame.java,com.formdev.flatlaf.testing.FlatTestFrame$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-extras\src\main\java\com\formdev\flatlaf\extras\components\FlatProgressBar.java,com.formdev.flatlaf.extras.components.FlatProgressBar,class,2,3,1,2,4,5,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-testing\src\main\java\com\formdev\flatlaf\testing\FlatComponents2Test.java,com.formdev.flatlaf.testing.FlatComponents2Test$TestTableModel,innerclass,3,3,0,3,19,2,0,9,33,0.81428576,0.0,0.0,10,0,7,0,0,3,10,0,0,0,7,0,0,7,0,0,5,0,0,52,7,0,4,0,4,35,7,16,4,12,2,0,0,1,37,2,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-core\src\main\java\com\formdev\flatlaf\json\JsonParser.java,com.formdev.flatlaf.json.JsonParser,class,5,8,3,5,115,1,0,57,250,0.87083334,0.0,0.0,32,0,4,27,0,1,5,0,0,0,15,3,0,15,0,0,4,0,3,389,23,8,19,1,3,23,33,40,14,29,3,0,0,0,150,0,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatTreeUI.java,com.formdev.flatlaf.ui.FlatTreeUI$Anonymous1,anonymous,2,2,0,2,14,1,0,23,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,23,5,0,3,0,1,0,1,5,3,5,1,0,0,0,29,-1,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-testing\flatlaf-testing-modular-app\src\main\java\com\formdev\flatlaf\testing\modular\app\FlatModularAppTest.java,com.formdev.flatlaf.testing.modular.app.FlatModularAppTest,class,6,7,1,6,1,1,0,15,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,8,0,5,0,5,1,0,0,1,34,1,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-testing\src\main\java\com\formdev\flatlaf\testing\FlatContainerTest.java,com.formdev.flatlaf.testing.FlatContainerTest,class,25,26,1,25,141,14,0,164,1128,0.97916687,0.0,0.0,48,1,2,46,0,0,2,0,0,0,47,0,0,47,0,0,0,0,7,714,2,35,9,0,9,147,110,137,11,168,4,3,4,39,217,1,0
C:\Users\rochi\Downloads\sneel\FlatLaf\flatlaf-core\src\main\java\com\formdev\flatlaf\ui\FlatCaret.java,com.formdev.flatlaf.ui.FlatCaret,class,4,9,5,4,62,5,0,56,44,0.810606,0.0,0.0,12,0,9,1,2,0,11,0,0,0,11,1,0,11,0,0,3,0,15,153,8,0,21,3,5,1,10,37,2,29,4,0,0,2,110,1,0
